Class section,1,2,3,4,5,6,7,8,9,10
2125,82,75,43,18,22,58,37,100,57,58
1628,16,39,96,5,37,23,11,68,92,85
6271,14,33,77,83,9,34,87,74,11,3
3536,14,81,95,25,16,10,58,2,23,71
3055,64,19,27,95,55,69,66,74,71,100
4375,46,18,53,29,57,2,66,74,3,50
9692,25,63,61,15,36,9,89,43,58,50
6762,26,99,78,8,67,81,20,73,92,63
6737,62,21,72,9,50,68,47,87,56,71
1699,9,74,20,4,71,71,49,48,101,86
4865,39,60,22,84,5,32,90,81,44,97
1851,14,97,41,23,70,4,42,55,7,16
8774,83,80,30,16,91,19,95,68,100,23
6923,62,95,66,47,67,35,32,10,97,96
1990,17,65,90,83,45,33,18,42,50,44
5020,42,91,6,71,101,33,26,86,52,96
8394,88,17,28,16,99,70,13,9,91,10
4872,5,38,30,61,89,21,30,55,7,71
5277,97,4,60,49,47,32,14,14,51,14
6196,30,2,94,62,75,49,20,95,18,26
2391,84,87,16,55,77,19,24,5,83,97
5073,97,53,42,71,94,7,34,69,93,75
2684,95,50,30,2,17,23,42,77,87,53
4095,15,14,99,72,58,50,9,72,21,92
1128,24,71,10,97,80,85,32,19,54,36
1645,47,21,35,97,88,80,72,32,68,56
2130,28,53,18,90,66,83,80,72,27,24
7288,96,65,65,33,16,77,59,61,99,42
9854,57,34,2,21,11,80,42,2,80,99
2920,20,37,27,54,97,26,95,71,29,61
3076,93,23,70,2,36,92,19,63,62,1
7530,70,94,84,5,40,81,65,10,41,8
4765,86,101,86,73,48,28,31,37,10,33
4848,98,48,43,61,40,56,7,55,41,48
4051,82,33,68,94,96,38,90,49,55,63
3400,93,12,40,5,44,90,66,52,24,87
2821,40,3,27,33,7,41,10,72,13,66
1012,45,24,4,25,59,64,37,4,84,16
4408,37,21,48,12,31,61,99,75,53,79
7202,86,14,33,80,25,53,68,47,16,10